ID_HDC_G0,UC_NM_MN,STUDY_AREA_SCALE_FACTOR,NO_RUNS,NEED_CENTROID_CHECK,NEED_MAP_CHECK,DONE
1450,Mindelo,80,0,,,True
1451,Jo?o Teves,20,0,,,
1452,Dakar,20,0,,,True
1453,MBour,40,0,,,True
1454,ThiŠs,20,0,,,True
1455,Serrekunda,80,0,,,True
1456,Tivaouane,160,0,,,True
1457,Yundum,2560,0,,,True
1458,Brikama,80,0,,,True
1459,Nouadhibou,80,0,,,True
1460,Bambey,20,0,,,True
1461,Saint-Louis,20,0,,,True
1462,Fatick,40,0,,,True
1463,Ziguinchor,20,0,,,True
1464,Bignona,40,0,,,True
1465,Diourbel,20,0,,,True
1466,Louga,20,0,,,True
1467,Kaolack,20,0,,,True
1468,Keur Madiabel,20,0,,,True
1469,Gossas,20,0,,,True
1470,Darou Mousti,40,0,,,True
1471,Guinguin‚o,20,0,,,True
1472,Goudomp,20,0,,,True
1473,Touba,20,0,,,True
1474,Nouakchott,20,0,,,True
1476,Nioro du Rip,20,0,,,True
1477,Bissau,40,0,,,True
1478,Rosso S‚n‚gal,40,0,,,True
1480,Farafenni,20,0,,,True
1481,S‚dhiou,20,0,,,True
1482,Richard-Toll,80,0,,,True
1484,Kaffrine,20,0,,,True
1485,Dahra Djoloff,20,0,,,True
1486,Dakhla,20,0,,,True
1487,Dagana,40,0,,,True
1489,Kolda,20,0,,,True
1490,Podor,20,0,,,True
1491,Koungheul,20,0,,,True
1492,Bafat ,80,0,,,True
1493,Kamsar,80,0,,,True
1496,Koumpentoum,20,0,,,True
1497,Bok‚,160,0,,,True
1498,Gab£,40,0,,,True
1499,Bogu‚,40,0,,,True
1500,V‚lingara,20,0,,,True
1501,Sangar‚di,40,0,,,True
1502,Conakry,20,0,,,True
1503,Boujdour,20,0,,,True
1504,Madina Gounass,40,0,,,True
1505,Fria,40,0,,,True
1506,Tambacounda,20,0,,,True
1507,Freetown,80,0,,,True
1508,Ka‚di,80,0,,,True
1509,Mahera,160,0,,,True
1511,Waterloo,2560,0,,,True
1512,Kindia,40,0,,,True
1513,Waound‚,20,0,,,True
1515,Lab‚,80,0,,,True
1516,Mile 91,40,0,,,True
1517,Kedougou,80,0,,,True
1518,Mamou,80,0,,,True
1519,Makeni,40,0,,,True
1520,Bo,20,0,,,True
1521,Kayes,40,0,,,True
1522,Kenema,40,0,,,True
1523,Kiffa,80,0,,,True
1524,Koidu Town,80,0,,,True
1525,Daru,20,0,,,True
1526,Monrovia,20,0,,,True
1527,Faranah,40,0,,,True
1528,Dinguiraye,40,0,,,True
1529,Kakata,80,0,,,True
1530,Tan-Tan,20,0,,,True
1531,Gu‚ck‚dou,80,0,,,True
1532,Kissidougou,40,0,,,True
1533,Buchanan,160,0,,,True
1534,Gbarnga,160,0,,,True
1535,Macenta,80,0,,,True
1536,Kita,80,0,,,True
1537,Guelmim,20,0,,,True
1538,Banankoro,40,0,,,True
1539,Kankan,40,0,,,True
1540,Siguiri,40,0,,,True
1541,Ganta,160,0,,,True
1542,Tiznit,20,0,,,True
1543,Essaouira,20,0,,,True
1544,Agadir,160,0,,,True
1545,Nz‚r‚kor‚,20,0,,,True
1546,Ouled-Teima,20,0,,,True
1547,Safi,20,0,,,True
1548,Sinko,20,0,,,True
1549,Danan‚,40,0,,,True
1550,Taroudant,20,0,,,True
1552,Kati,2560,0,,,True
1553,Bamako,20,0,,,True
1555,S‚nou,2560,0,,,True
1557,Youssoufia ????????? ????????,20,0,,,True
1558,El Jadida,20,0,,,True
1560,Sidi Bennour,20,0,,,True
1561,Tinduf,80,0,,,True
1562,Man,40,0,,,True
1563,Guiglo,40,0,,,True
1564,Azemmour,20,0,,,True
1565,Bougouni,80,0,,,True
1567,Duekoue,40,0,,,True
1570,Marrakesh,20,0,,,True
1571,Ben Guerir,20,0,,,True
1574,Dar Bouazza,20,0,,,True
1575,Casablanca,20,0,,,True
1577,Settat,20,0,,,True
1578,Virage de Dioila,80,0,,,True
1579,Berrechid,20,0,,,True
1581,Deroua,40,0,,,True
1582,El Kelaa des Sraghna,20,0,,,True
1583,San-P‚dro,40,0,,,True
1585,Soubr‚,20,0,,,True
1586,Issia,40,0,,,True
1587,M‚agui,40,0,,,True
1589,Vavoua,80,0,,,True
1590,Daloa,20,0,,,True
1591,Tengr‚la,40,0,,,True
1592,Ouarzazate,20,0,,,True
1594,Khouribga,20,0,,,True
1595,Rabat,20,0,,,True
1596,S‚gou,40,0,,,True
1597,Ain El Aouda,20,0,,,True
1598,Souk Sebt Oulad Nemma,20,0,,,True
1600,Fkih Ben Salah,20,0,,,True
