ORIG_FID,CIES_NM_TL,P_R23_2020,STUDY_AREA_SCALE_FACTOR,NO_RUNS,NEED_CENTROID_CHECK,NEED_MAP_CHECK,DONE
2,Ghorian,63574.80812,20,0,,,
3,"Karabāgh, Kharabagh, Qarabāgh, Qarah Bāgh, Qareh Bāgh, Qaṟa Bāqh, Qarreh Baghe",49342.7172,20,0,,,
4,Torgun,168440.0356,20,0,,,
5,Hearat,1061761.538,20,0,,,
6,Guzrah,138613.2543,20,0,,,
7,Shinesne,160664.1097,20,0,,,
9,Qaleh No,65466.11927,20,0,,,
10,Farah,115521.3268,20,0,,,
13,"Shāh Naz̧Ar, Shah Nazar",103449.4472,20,0,,,
14,Kooh Sayyad,112459.5965,20,0,,,
15,Meymaneh,99776.57961,20,0,,,
17,Shabarghan,151184.7115,20,0,,,
18,Sar Pol,116677.5148,20,0,,,
20,Lellelleschergah,153603.2216,20,0,,,
21,Takzar,52082.87977,20,0,,,
24,Gereshk,110890.9896,20,0,,,
26,Mazar Sherif,636515.2394,20,0,,,
32,Khalam,40323.41119,20,0,,,
33,Trane Cotte,98800.90066,20,0,,,
35,Kandhar,638945.6966,20,0,,,
37,Semengan‎,90647.66547,20,0,,,
38,N/A,141005.6349,20,0,,,
41,Kondoz,256269.133,20,0,,,
43,Bamian,86292.37215,20,0,,,
44,Boghlan,88610.13405,20,0,,,
45,Pol Khamri,187167.8641,20,0,,,
46,Khan Abad,90363.84416,20,0,,,
47,Jaman,169616.1797,20,0,,,
49,Chah Ab,95277.4149,20,0,,,
50,"Qarabāghi, Qarah Bāghī, Qareh Bāghi, Qarreh Baghi",46068.79723,20,0,,,
51,Talaqan,266160.3226,20,0,,,
52,Rostaq,101212.8568,20,0,,,
55,Charikar,174291.3847,20,0,,,
56,Ghazni,78330.55042,20,0,,,
57,Golbahar,62027.89629,20,0,,,
58,Kabul,5025513.295,20,0,,,
59,Bagram,93412.48414,20,0,,,
60,Shekardareh,103268.5717,20,0,,,
61,Faizabad,65085.18747,20,0,,,
63,Baraki,48685.70156,20,0,,,
65,Poll Ulm Yar,46042.41347,20,0,,,
68,Mehtarlam,113986.1622,20,0,,,
71,Jalaal Abad,422736.887,20,0,,,
73,Khost,55949.34561,20,0,,,
77,Tômbua,61130.66479,20,0,,,
78,Moçâmedes,272621.0295,20,0,,,
79,Cabinda,861937.407,20,0,,,
80,Soyo,88350.07906,20,0,,,
81,Luanda,8857710.371,20,0,,,
82,Benguela,389313.02,20,0,,,
83,Lubango,825251.5923,20,0,,,
84,Panguila,42523.11336,20,0,,,
85,Lobito,497007.1694,20,0,,,
86,Chibia,51732.80581,20,0,,,
87,Caxito,66682.07458,20,0,,,
88,Porto Amboim,54014.07713,20,0,,,
89,Sumbe,153407.8427,20,0,,,
92,Cubal,119246.1453,20,0,,,
93,Seles,77361.09,20,0,,,
94,M'Banza Congo,224906.4526,20,0,,,
95,Gabela,145781.6618,20,0,,,
96,Quipungo,49574.02753,20,0,,,
97,Ganda,104134.1316,20,0,,,
98,Caluquembe,75594.78652,20,0,,,
99,Balombo,47788.17753,20,0,,,
100,Xangongo,73172.88313,20,0,,,
102,Matala,193316.8844,20,0,,,
103,Calulo,65640.48095,20,0,,,
104,N'Dalatando,130568.1956,20,0,,,
105,Caconda,59317.55576,20,0,,,
106,Waku Kungo,102440.4626,20,0,,,
107,Uíge,334176.5435,20,0,,,
109,Negage,67355.55107,20,0,,,
110,Ondjiva,176739.4097,20,0,,,
111,Caála,86853.80597,20,0,,,
113,Santa Clara,61410.92619,20,0,,,
114,Huambo,566508.099,20,0,,,
115,Bailundo,70993.1472,20,0,,,
121,Malanje,690575.6782,20,0,,,
