ORIG_FID,CIES_NM_TL,P_R23_2020,STUDY_AREA_SCALE_FACTOR,NO_RUNS,NEED_CENTROID_CHECK,NEED_MAP_CHECK,DONE
2,Ghorian,63574.80812,64,0,,,
3,"Karab?gh, Kharabagh, Qarab?gh, Qarah B?gh, Qareh B?gh, Qa?a B?qh, Qarreh Baghe",49342.7172,4,0,,,
4,Torgun,168440.0356,8,0,,,
5,Hearat,1061761.538,16,0,,,
6,Guzrah,138613.2543,4,0,,,
7,Shinesne,160664.1097,16,0,,,
9,Qaleh No,65466.11927,32,0,,,
10,Farah,115521.3268,64,0,,,
12,Zaranj,36841.53733,512,0,,,
13,"Sh?h Naz?Ar, Shah Nazar",103449.4472,4,0,,,
14,Kooh Sayyad,112459.5965,4,0,,,
15,Meymaneh,99776.57961,16,0,,,
17,Shabarghan,151184.7115,32,0,,,
18,Sar Pol,116677.5148,8,0,,,
20,Lellelleschergah,153603.2216,64,0,,,
21,Takzar,52082.87977,4,0,,,
22,"Mo?ammad ??????Alam Kalay, Mu?ammad ??????Alam K??????lay, Mahmad Ulm Kolli",28803.11736,4,0,,,
24,Gereshk,110890.9896,32,0,,,
26,Mazar Sherif,636515.2394,32,0,,,
32,Khalam,40323.41119,4,0,,,
33,Trane Cotte,98800.90066,8,0,,,
35,Kandhar,638945.6966,16,0,,,
37,Semengan?,90647.66547,32,0,,,
38,,141005.6349,32,0,,,
41,Kondoz,256269.133,32,0,,,
43,Bamian,86292.37215,4,0,,,
44,Boghlan,88610.13405,16,0,,,
45,Pol Khamri,187167.8641,32,0,,,
46,Khan Abad,90363.84416,16,0,,,
47,Jaman,169616.1797,32,0,,,
49,Chah Ab,95277.4149,8,0,,,
50,"Qarab?ghi, Qarah B?gh?, Qareh B?ghi, Qarreh Baghi",46068.79723,16,0,,,
51,Talaqan,266160.3226,16,0,,,
52,Rostaq,101212.8568,4,0,,,
55,Charikar,174291.3847,8,0,,,
56,Ghazni,78330.55042,64,0,,,
57,Golbahar,62027.89629,4,0,,,
58,Kabul,5025513.295,8,0,,,
59,Bagram,93412.48414,64,0,,,
60,Shekardareh,103268.5717,64,0,,,
61,Faizabad,65085.18747,256,0,,,
63,Baraki,48685.70156,4,0,,,
65,Poll Ulm Yar,46042.41347,16,0,,,
68,Mehtarlam,113986.1622,8,0,,,
