ID_HDC_G0,UC_NM_MN,STUDY_AREA_SCALE_FACTOR,NO_RUNS,NEED_CENTROID_CHECK,NEED_MAP_CHECK,DONE
1450,Mindelo,20,0,False,,
1451,Jo?o Teves,20,0,,,
1452,Dakar,20,0,,,True
1453,MBour,20,0,,,True
1454,ThiŠs,20,0,,,True
1455,Serrekunda,20,0,,,True
1456,Tivaouane,20,0,,,True
1457,Yundum,40,0,,,True
1458,Brikama,20,0,,,True
1459,Nouadhibou,20,0,False,,
1460,Bambey,20,0,,,True
1461,Saint-Louis,20,0,,,True
1462,Fatick,20,0,,,True
1463,Ziguinchor,20,0,,,True
1464,Bignona,20,0,,,True
1465,Diourbel,20,0,,,True
1466,Louga,20,0,,,True
1467,Kaolack,20,0,,,True
1468,Keur Madiabel,20,0,,,True
1469,Gossas,20,0,,,True
1470,Darou Mousti,20,0,,,True
1471,Guinguin‚o,20,0,,,True
1472,Goudomp,20,0,,,True
1473,Touba,20,0,,,True
1474,Nouakchott,20,0,,,True
1476,Nioro du Rip,20,0,,,True
1477,Bissau,20,0,,,True
1478,Rosso S‚n‚gal,20,0,,,True
1480,Farafenni,20,0,,,True
1481,S‚dhiou,20,0,,,True
1482,Richard-Toll,20,0,,,True
1484,Kaffrine,20,0,,,True
1485,Dahra Djoloff,20,0,,,True
1486,Dakhla,20,0,,,True
1487,Dagana,20,0,False,,
1489,Kolda,20,0,,,True
1490,Podor,20,0,,,True
1491,Koungheul,20,0,,,True
1492,Bafat ,40,0,,,True
1493,Kamsar,40,0,,,True
1496,Koumpentoum,20,0,,,True
1497,Bok‚,20,0,,,True
1498,Gab£,20,0,,,True
1499,Bogu‚,20,0,,,True
1500,V‚lingara,20,0,,,True
1501,Sangar‚di,20,0,,,True
1502,Conakry,20,0,,,True
1503,Boujdour,20,0,False,,
1504,Madina Gounass,20,0,,,True
1505,Fria,20,0,,,True
1506,Tambacounda,20,0,,,True
1507,Freetown,20,0,,,True
1508,Ka‚di,20,0,,,True
1509,Mahera,80,0,,,True
1511,Waterloo,40,0,,,True
1512,Kindia,40,0,,,True
1513,Waound‚,20,0,,,True
1515,Lab‚,40,0,,,True
1516,Mile 91,20,0,,,True
1517,Kedougou,20,0,,,True
1518,Mamou,20,0,,,True
1519,Makeni,20,0,,,True
1520,Bo,20,0,,,True
1521,Kayes,40,0,,,True
1522,Kenema,20,0,,,True
1523,Kiffa,20,0,,,True
1524,Koidu Town,40,0,,,True
1525,Daru,20,0,,,True
1526,Monrovia,20,0,,,True
1527,Faranah,20,0,,,True
1528,Dinguiraye,20,0,,,True
1529,Kakata,20,0,,,True
1530,Tan-Tan,20,0,,,True
1531,Gu‚ck‚dou,40,0,,,True
1532,Kissidougou,40,0,,,True
1533,Buchanan,80,0,,,True
1534,Gbarnga,80,0,,,True
1535,Macenta,20,0,,,True
1536,Kita,20,0,,,True
1537,Guelmim,20,0,,,True
1538,Banankoro,20,0,,,True
1539,Kankan,20,0,,,True
1540,Siguiri,20,0,,,True
1541,Ganta,40,0,,,True
1542,Tiznit,20,0,,,True
1543,Essaouira,20,0,,,True
1544,Agadir,20,0,,,True
1545,Nz‚r‚kor‚,20,0,,,True
1546,Ouled-Teima,20,0,,,True
1547,Safi,20,0,,,True
1548,Sinko,20,0,,,True
1549,Danan‚,20,0,,,True
1550,Taroudant,20,0,,,True
1552,Kati,40,0,,,True
1553,Bamako,20,0,,,True
1555,S‚nou,20,0,,,True
1557,Youssoufia ????????? ????????,20,0,,,True
1558,El Jadida,20,0,,,True
1560,Sidi Bennour,20,0,,,True
1561,Tinduf,20,0,,,True
1562,Man,20,0,,,True
1563,Guiglo,20,0,,,True
1564,Azemmour,20,0,,,True
1565,Bougouni,40,0,,,True
1567,Duekoue,20,0,,,True
1570,Marrakesh,20,0,,,True
1571,Ben Guerir,20,0,,,True
1574,Dar Bouazza,20,0,False,,
1575,Casablanca,20,0,,,True
1577,Settat,20,0,,,True
1578,Virage de Dioila,80,0,,,True
1579,Berrechid,20,0,,,True
1581,Deroua,20,0,False,,
1582,El Kelaa des Sraghna,20,0,,,True
1583,San-P‚dro,40,0,,,True
1585,Soubr‚,20,0,,,True
1586,Issia,20,0,,,True
1587,M‚agui,20,0,,,True
1589,Vavoua,20,0,,,True
1590,Daloa,20,0,,,True
1591,Tengr‚la,20,0,,,True
1592,Ouarzazate,20,0,,,True
1594,Khouribga,20,0,,,True
1595,Rabat,20,0,,,True
1596,S‚gou,20,0,,,True
1597,Ain El Aouda,20,0,False,,
1598,Souk Sebt Oulad Nemma,20,0,,,True
1600,Fkih Ben Salah,20,0,,,True
1601,Bonon,20,0,,,True
1603,Gagnoa,20,0,,,True
1604,Kenitra,20,0,,,True
1605,Oued Zem,20,0,,,True
1606,Sinfra,20,0,,,True
1607,Niono,20,0,,,True
1608,Beni Mellal,20,0,,,True
1609,Bejaad,20,0,,,True
1610,Bouafl‚,20,0,,,True
1611,Lakota,20,0,,,True
1612,Kasba Tadla,20,0,,,True
1613,Tiflet,20,0,,,True
1614,Sikasso,20,0,,,True
1615,Korhogo,20,0,,,True
1616,Sidi Yahya du Gharb,20,0,,,True
1617,Di‚gon‚fla,20,0,,,True
1621,Larache,20,0,,,True
1623,Khemisset,20,0,,,True
1624,Koutiala,20,0,,,True
1625,Oum‚,20,0,,,True
1626,Fassala,20,0,False,,
1628,Divo,20,0,,,True
1629,Souk El Arba Du Gharb,20,0,,,True
1630,Zagora,20,0,False,,
1631,Sidi Slimane,20,0,,,True
1633,Yamoussoukro,20,0,,,True
1634,Ksar el-Kebir,20,0,,,True
1635,Tangier,20,0,,,True
1637,Ferk‚ss‚dougou,20,0,,,True
1639,Ouangolodougou,20,0,,,True
1640,Sidi Kacem,20,0,,,True
1641,Khenifra,20,0,,,True
1642,Bouak‚,20,0,,,True
1643,Meknes,20,0,,,True
1644,M'rirt,20,0,,,True
1645,Ouazzane,20,0,,,True
1646,Niangoloko,20,0,,,True
1648,San,20,0,,,True
1652,T‚touan,20,0,,,True
1653,Banfora,20,0,,,True
1657,Martil,20,0,,,True
1658,Azrou,20,0,,,True
1660,Chefchaouen,20,0,,,True
1661,Ain Taoujdate,20,0,,,True
1664,Fez,20,0,,,True
1666,Dabou,40,0,,,True
1668,Sefrou,20,0,,,True
1669,Bobo-Dioulasso,20,0,,,True
1670,Midelt,20,0,,,True
1671,Sid‚radougou,20,0,False,,
1672,Agboville,40,0,,,True
1675,Abidjan,20,0,,,True
1676,Mopti,20,0,,,True
1679,Socoura,20,0,,,True
1680,Solenzo,20,0,,,True
1681,Errachidia,20,0,,,True
1683,Daoukro,20,0,,,True
1684,Adzop‚,20,0,,,True
1685,Barani,20,0,False,,
1686,Nouna,20,0,,,True
1687,Ouo,20,0,False,,
1689,Grand-Bassam,80,0,,,True
1690,Taza,20,0,,,True
1692,Lorop‚ni,20,0,False,,
1693,Abengourou,20,0,,,True
1694,Al Hoceima,20,0,,,True
1695,Hound‚,20,0,False,,
1696,D‚dougou,20,0,,,True
1704,Aboisso,20,0,,,True
1706,Agnibil‚krou,40,0,,,True
1710,Gaoua,20,0,,,True
1712,Tougan,20,0,,,True
1714,Guercif,20,0,,,True
1715,Bouna,20,0,,,True
1717,Timbuktu,20,0,,,True
1720,Dormaa Ahenkro,20,0,,,True
1724,Enchi,20,0,,,True
1725,Bondoukou,20,0,,,True
1730,Jirapa,20,0,False,,
1733,Nador,40,0,,,True
1734,Melilla,40,0,,,True
1735,Taourirt,20,0,,,True
1736,Berekum,20,0,,,True
1738,Wa,20,0,,,True
1740,Bole,20,0,False,,
1743,Sawla,20,0,False,,
1744,Ouahigouya,20,0,,,True
1745,Koudougou,20,0,,,True
1747,Sunyani,20,0,,,True
1748,Gourcy,20,0,False,,
1754,Yako,20,0,,,True
1762,Wenchi,20,0,,,True
1765,Berkane,20,0,,,True
1766,Leo,20,0,False,,
1769,Bashar,20,0,,,True
1774,Techiman,20,0,,,True
1779,Takoradi [Sekondi-Takoradi],20,0,,,True
1783,Dunkwa-on-Ofin,20,0,,,True
1784,Sapouy,20,0,False,,
1785,Kumasi,20,0,,,True
1787,Oujda,20,0,,,True
1788,Kintampo,20,0,,,True
1789,Nkoranza,20,0,,,True
1791,Obuasi,40,0,,,True
1799,Ouagadougou,20,0,,,True
1802,Djibo,20,0,False,,
1804,Maghnia,20,0,,,True
1807,Kongoussi,20,0,False,,
1812,Mampong,20,0,,,True
1817,Ejura,20,0,,,True
1820,Kombissiri,20,0,,,True
1822,Cape Coast,20,0,,,True
1825,Ziniar‚,20,0,False,,
1826,Sandema,20,0,False,,
1827,Assin Fosu,20,0,,,True
1829,Konongo,40,0,,,True
1832,Tlemcen,20,0,,,True
1842,Paga,20,0,False,,
1843,Kaya,20,0,,,True
1844,Navrongo,20,0,,,True
1850,Barsalogho,20,0,False,,
1852,Ain Temouchent,20,0,,,True
1853,Atebubu,20,0,False,,
1854,Akim Oda,20,0,,,True
1866,Tamale,20,0,,,True
1868,Bolgatanga,20,0,,,True
1870,Arbinda,20,0,False,,
1872,Pissila,20,0,False,,
1873,Savelugu,20,0,,,True
1875,Walewale,20,0,False,,
1876,Nkawkaw,40,0,,,True
1878,Ain Turk,20,0,,,True
1879,Agona Swedru,20,0,,,True
1882,Kwame Danso,20,0,,,True
1883,Asamankese,20,0,,,True
1884,Yeji,20,0,False,,
1886,Winneba,40,0,,,True
1890,Oran,20,0,,,True
1894,Sidi Bel Abbes,20,0,,,True
1898,Boulsa,20,0,,,True
1901,Ain Sefra,20,0,,,True
1902,Garango,20,0,,,True
1903,Tougouri,20,0,False,,
1904,Salaga,20,0,,,True
1909,Zebilla,20,0,,,True
1910,Accra,20,0,,,True
1913,Suhum,20,0,,,True
1916,Hassi Bounif,20,0,,,True
1917,Pouytenga,20,0,,,True
1918,Karaga,20,0,False,,
1921,New Tafo Akim,20,0,,,True
1922,Tenkodogo,20,0,,,True
1925,Nalerigu,20,0,False,,
1926,Nsawam,20,0,,,True
1928,Koup‚la,20,0,,,True
1932,Bitou,20,0,,,True
1933,Arzew,40,0,,,True
1934,Adrar,20,0,,,True
1935,Koforidua,20,0,,,True
1937,Mecheria,20,0,,,True
1938,Bawku,20,0,,,True
1940,Gorom-Gorom,20,0,False,,
1941,Gushiegu,20,0,False,,
1942,Manni,20,0,False,,
1943,Sig,20,0,,,True
1944,Garu,20,0,,,True
1949,Bogand‚,20,0,False,,
1953,Kete Krachi,20,0,,,True
1954,Gao,20,0,,,True
1955,Dori,20,0,,,True
1956,Yendi,20,0,,,True
1957,Somanya,20,0,,,True
1958,Cinkass‚,20,0,,,True
1959,Wulensi,20,0,,,True
1962,Mostaganem,20,0,,,True
1963,Mohammadia,20,0,,,True
1964,Bimbila,20,0,,,True
1966,,20,0,,,True
1968,Mascara,20,0,,,True
1970,Saida,20,0,,,True
1972,Dambai,20,0,,,True
1974,Dapaong,20,0,,,True
1975,Bombouaka,20,0,False,,
1977,Korbongou,20,0,False,,
1982,Fada N'Gourma,20,0,,,True
1985,Ho,20,0,,,True
1986,Relizane,20,0,,,True
1987,Hohoe,20,0,,,True
1988,Sansann‚-Mango,20,0,,,True
1990,El Abiodh Sidi Cheikh,20,0,,,True
1992,Tatale,20,0,,,True
1994,Kpalim‚,20,0,,,True
1996,Kompienga,20,0,False,,
1997,T‚ra,20,0,,,True
1999,Bassar,20,0,,,True
2001,Akatsi,20,0,,,True
2002,Oued Rhiou,20,0,,,True
2007,Frenda,20,0,,,True
2009,Sotouboua,20,0,,,True
2011,Blitta-Gare,20,0,,,True
2013,Cobli,20,0,False,,
2014,Blitta,20,0,,,True
2015,Kand‚,20,0,,,True
2016,Materi,20,0,,,True
2018,Chettia,20,0,,,True
2019,Atakpam‚,20,0,,,True
2020,Lom‚,20,0,,,True
2021,Sokod‚,20,0,,,True
2023,Ash Shalif,20,0,,,True
2024,Tiaret,20,0,,,True
2025,Nots‚,20,0,False,,
2026,Kara,20,0,,,True
2028,Ani‚,20,0,,,True
2030,Ts‚vi‚,20,0,,,True
2031,Libiri,20,0,,,
2034,Tanguieta,20,0,,,True
2036,K‚tao,20,0,,,True
2037,Sougueur,20,0,,,True
2039,Lardjem,20,0,,,True
2041,Natitingou,20,0,,,True
2042,Tchamba,20,0,,,True
2044,Tillab‚ri,20,0,,,True
2047,Kantchari,20,0,False,,
2049,An‚ho,40,0,,,True
2050,Tissemsilt,20,0,,,True
2052,Djougou,20,0,,,True
2053,Makalondi,20,0,False,,
2055,Ain Defla,40,0,,,True
2056,Lokossa,20,0,,,True
2058,Ti‚l‚l,20,0,,,
2059,Sirimbana,20,0,False,,
2060,Aflou,20,0,,,True
2062,Khemis Miliana,20,0,,,True
2063,Savalou,20,0,,,True
2064,Bohicon,80,0,,,True
2067,Niamey,20,0,,,True
2068,Ksar Chellala,20,0,,,True
2070,Whydah,20,0,,,True
2073,Tindji,20,0,,,True
2074,Allada,20,0,,,True
2077,Dassa-Zoum‚,20,0,,,True
2078,Cotonou,20,0,,,True
2081,Kollo,20,0,False,,
2084,Kolea ???????,20,0,,,True
2085,Say,20,0,,,True
2088,Medea,20,0,,,True
2089,Blida,20,0,,,True
2090,Banikoara,20,0,,,True
2091,OuŠssŠ,20,0,,,True
2092,Ksar El Boukhari,20,0,,,True
2095,Algiers,20,0,,,True
2096,Boufarik,20,0,,,True
2097,Laghouat,20,0,,,True
2098,Berrouaghia,40,0,,,True
2099,Ain Oussara,20,0,,,True
2100,Parakou,20,0,,,True
2101,Porto-Novo,20,0,,,True
2102,K‚tou,20,0,,,True
2103,,20,0,,,True
2105,El Menia,80,0,,,True
2107,PobŠ,20,0,,,True
2108,Hassi Bahbah,20,0,,,True
2109,Bougara,20,0,,,True
2110,Idiroko,40,0,,,True
2111,Larbaa,20,0,,,True
2113,Meftah,20,0,,,True
2114,Meko,20,0,,,True
2115,Birni N'Gaour‚,20,0,,,True
2116,Djelfa,20,0,,,True
2117,Khemis El Khechna,40,0,,,True
2118,Badagry,320,0,,,True
2120,Bal‚yara,20,0,,,True
2121,Kandi,20,0,,,True
2122,Owode,20,0,,,True
2124,Ilaro,20,0,,,True
2125,Lagos,20,0,,,True
2126,Aiyetoro,20,0,,,True
2128,Messaad,20,0,,,True
2132,Dosso,20,0,,,True
2134,Nikki,20,0,,,True
2136,Aiyete,20,0,,,True
2137,Bordj Menaiel,20,0,,,True
2139,Abeokuta,20,0,,,True
2140,Filingu‚,20,0,,,True
2141,Igbo Ora,20,0,,,True
2143,Ghardaia,40,0,,,True
2146,Sidi Aissa,20,0,,,True
2147,Ilero,20,0,,,True
2148,Iwere,20,0,,,True
2150,Malanville,20,0,,,True
2151,Saki,20,0,,,True
2153,Abala,20,0,,,True
2156,Otu,20,0,,,True
2157,Ogunrun-Ori,20,0,,,True
2158,Bouira,20,0,,,True
2159,Gaya,20,0,,,True
2160,Ago Are,20,0,,,True
2161,Eruwa Titun,20,0,,,True
2165,Ikorodu,20,0,,,True
2170,Tizi Ouzou,20,0,,,True
2173,Iseyin,20,0,,,True
2174,Kamba,20,0,,,True
2175,Sagamu,20,0,,,True
2177,Bou Saada,20,0,,,True
2178,Ishara,20,0,,,True
2180,Lakuwe,160,0,,,True
2182,Ilishan,20,0,,,True
2184,Igboho,20,0,,,True
2189,Ibadan,20,0,,,True
2190,Kishi,20,0,,,True
2191,Oyo,20,0,,,True
2192,Ijebu-Ode,20,0,,,True
2193,Ago-Iwoye,20,0,,,True
2196,Kaiama,20,0,,,True
2200,Epe,20,0,,,True
