ID_HDC_G0,UC_NM_MN,STUDY_AREA_SCALE_FACTOR,NO_RUNS,NEED_CENTROID_CHECK,NEED_MAP_CHECK,DONE
1630,Zagora,20,0,,,TRUE
1631,Sidi Slimane,20,0,,,TRUE
1633,Yamoussoukro,20,0,,,TRUE
1634,Ksar el-Kebir,20,0,,,TRUE
1635,Tangier,20,0,,,TRUE
1637,Ferk‚ss‚dougou,40,0,,,TRUE
1639,Ouangolodougou,20,0,,,TRUE
1640,Sidi Kacem,20,0,,,TRUE
1641,Khenifra,20,0,,,TRUE
1642,Bouak‚,20,0,,,TRUE
1643,Meknes,20,0,,,TRUE
1644,M'rirt,20,0,,,TRUE
1645,Ouazzane,20,0,,,TRUE
1646,Niangoloko,20,0,,,TRUE
1648,San,80,0,,,TRUE
1652,T‚touan,20,0,,,TRUE
1653,Banfora,40,0,,,TRUE
1657,Martil,20,0,,,TRUE
1658,Azrou,20,0,,,TRUE
1660,Chefchaouen,20,0,,,TRUE
1661,Ain Taoujdate,20,0,,,TRUE
1664,Fez,20,0,,,TRUE
1666,Dabou,40,0,,,TRUE
1668,Sefrou,20,0,,,TRUE
1669,Bobo-Dioulasso,20,0,,,TRUE
1670,Midelt,20,0,,,TRUE
1671,Sid‚radougou,20,0,,,TRUE
1672,Agboville,40,0,,,TRUE
1675,Abidjan,20,0,,,TRUE
1676,Mopti,20,0,,,TRUE
1679,Socoura,20,0,,,TRUE
1680,Solenzo,40,0,,,TRUE
1681,Errachidia,20,0,,,TRUE
1683,Daoukro,20,0,,,TRUE
1684,Adzop‚,40,0,,,TRUE
1685,Barani,20,0,,,TRUE
1686,Nouna,20,0,,,TRUE
1687,Ouo,20,0,FALSE,,
1689,Grand-Bassam,160,0,,,TRUE
1690,Taza,20,0,,,TRUE
1692,Lorop‚ni,20,0,,,TRUE
1693,Abengourou,20,0,,,TRUE
1694,Al Hoceima,20,0,,,TRUE
1695,Hound‚,20,0,,,TRUE
1696,D‚dougou,40,0,,,TRUE
1704,Aboisso,40,0,,,TRUE
1706,Agnibil‚krou,40,0,,,TRUE
1710,Gaoua,40,0,,,TRUE
1712,Tougan,20,0,,,TRUE
1714,Guercif,20,0,,,TRUE
1715,Bouna,20,0,,,TRUE
1717,Timbuktu,20,0,,,TRUE
1720,Dormaa Ahenkro,80,0,,,TRUE
1724,Enchi,20,0,,,TRUE
1725,Bondoukou,40,0,,,TRUE
1730,Jirapa,80,0,,,TRUE
1733,Nador,40,0,,,TRUE
1734,Melilla,40,0,,,TRUE
1735,Taourirt,20,0,,,TRUE
1736,Berekum,40,0,,,TRUE
1738,Wa,80,0,,,TRUE
1740,Bole,20,0,,,TRUE
1743,Sawla,20,0,,,TRUE
1744,Ouahigouya,20,0,,,TRUE
1745,Koudougou,80,0,,,TRUE
1747,Sunyani,160,0,,,TRUE
1748,Gourcy,20,0,,,TRUE
1754,Yako,20,0,,,TRUE
1762,Wenchi,80,0,,,TRUE
1765,Berkane,20,0,,,TRUE
1766,Leo,20,0,,,TRUE
1769,Bashar,80,0,,,TRUE
1774,Techiman,40,0,,,TRUE
1779,Takoradi [Sekondi-Takoradi],20,0,,,TRUE
1783,Dunkwa-on-Ofin,40,0,,,TRUE
1784,Sapouy,20,0,,,TRUE
1785,Kumasi,20,0,,,TRUE
1787,Oujda,20,0,,,TRUE
1788,Kintampo,20,0,,,TRUE
1789,Nkoranza,20,0,,,TRUE
1791,Obuasi,40,0,,,TRUE
1799,Ouagadougou,20,0,,,TRUE
1802,Djibo,20,0,,,TRUE
1804,Maghnia,20,0,,,TRUE
1807,Kongoussi,20,0,,,TRUE
1812,Mampong,80,0,,,TRUE
1817,Ejura,40,0,,,TRUE
1820,Kombissiri,40,0,,,TRUE
1822,Cape Coast,20,0,,,TRUE
1825,Ziniar‚,40,0,,,TRUE
1826,Sandema,20,0,,,TRUE
1827,Assin Fosu,40,0,,,TRUE
1829,Konongo,80,0,,,TRUE
1832,Tlemcen,20,0,,,TRUE
1842,Paga,20,0,,,TRUE
1843,Kaya,20,0,,,TRUE
