ORIG_FID,CIES_NM_TL,P_R23_2020,STUDY_AREA_SCALE_FACTOR,NO_RUNS,NEED_CENTROID_CHECK,NEED_MAP_CHECK,DONE
2,Ghorian,63574.80812,80,0,,,TRUE
3,"Karab??gh, Kharabagh, Qarab??gh, Qarah B??gh, Qareh B??gh, Qa???a B??qh, Qarreh Baghe",49342.7172,20,0,,,TRUE
4,Torgun,168440.0356,20,0,,,TRUE
5,Hearat,1061761.538,20,0,,,TRUE
6,Guzrah,138613.2543,40,0,,,TRUE
7,Shinesne,160664.1097,20,0,,,TRUE
9,Qaleh No,65466.11927,40,0,,,TRUE
10,Farah,115521.3268,80,0,,,TRUE
13,"Sh??h Naz??Ar, Shah Nazar",103449.4472,4,0,FALSE,,
14,Kooh Sayyad,112459.5965,4,0,,,TRUE
15,Meymaneh,99776.57961,40,0,,,TRUE
17,Shabarghan,151184.7115,9,0,,,TRUE
18,Sar Pol,116677.5148,20,0,,,TRUE
20,Lellelleschergah,153603.2216,40,0,,,TRUE
21,Takzar,52082.87977,4,0,,,TRUE
24,Gereshk,110890.9896,40,0,,,TRUE
26,Mazar Sherif,636515.2394,40,0,,,TRUE
32,Khalam,40323.41119,20,0,,,TRUE
33,Trane Cotte,98800.90066,40,0,,,TRUE
35,Kandhar,638945.6966,40,0,,,TRUE
37,Semengan,90647.66547,80,0,,,TRUE
38,,141005.6349,40,0,,,TRUE
41,Kondoz,256269.133,80,0,,,TRUE
43,Bamian,86292.37215,4,0,FALSE,,
44,Boghlan,88610.13405,40,0,,,TRUE
45,Pol Khamri,187167.8641,80,0,,,TRUE
46,Khan Abad,90363.84416,20,0,,,TRUE
47,Jaman,169616.1797,40,0,,,TRUE
49,Chah Ab,95277.4149,20,0,,,TRUE
50,"Qarab??ghi, Qarah B??gh??, Qareh B??ghi, Qarreh Baghi",46068.79723,40,0,,,TRUE
51,Talaqan,266160.3226,40,0,,,TRUE
52,Rostaq,101212.8568,20,0,,,TRUE
55,Charikar,174291.3847,40,0,,,TRUE
56,Ghazni,78330.55042,270,0,,,TRUE
57,Golbahar,62027.89629,20,0,,,TRUE
58,Kabul,5025513.295,20,0,,,TRUE
59,Bagram,93412.48414,40,0,,,TRUE
60,Shekardareh,103268.5717,80,0,,,TRUE
61,Faizabad,65085.18747,240,0,,,TRUE
63,Baraki,48685.70156,4,0,,,TRUE
65,Poll Ulm Yar,46042.41347,40,0,,,TRUE
68,Mehtarlam,113986.1622,80,0,,,TRUE
71,Jalaal Abad,422736.887,120,0,,,TRUE
73,Khost,55949.34561,1215,0,,,TRUE
77,T??mbua,61130.66479,80,0,,,TRUE
78,Mo????medes,272621.0295,40,0,,,TRUE
79,Cabinda,861937.407,40,0,,,TRUE
80,Soyo,88350.07906,608,0,,,TRUE
81,Luanda,8857710.371,20,0,,,TRUE
82,Benguela,389313.02,80,0,,,TRUE
83,Lubango,825251.5923,40,0,,,TRUE
84,Panguila,42523.11336,160,0,,,TRUE
85,Lobito,497007.1694,80,0,,,TRUE
86,Chibia,51732.80581,40,0,,,TRUE
87,Caxito,66682.07458,80,0,,,TRUE
88,Porto Amboim,54014.07713,160,0,,,TRUE
89,Sumbe,153407.8427,80,0,,,TRUE
92,Cubal,119246.1453,40,0,,,TRUE
93,Seles,77361.09,40,0,,,TRUE
94,M'Banza Congo,224906.4526,40,0,,,TRUE
95,Gabela,145781.6618,20,0,,,TRUE
96,Quipungo,49574.02753,80,0,,,TRUE
97,Ganda,104134.1316,80,0,,,TRUE
98,Caluquembe,75594.78652,80,0,,,TRUE
99,Balombo,47788.17753,80,0,,,TRUE
100,Xangongo,73172.88313,40,0,,,TRUE
102,Matala,193316.8844,40,0,,,TRUE
103,Calulo,65640.48095,20,0,,,TRUE
104,N'Dalatando,130568.1956,40,0,,,TRUE
105,Caconda,59317.55576,40,0,,,TRUE
106,Waku Kungo,102440.4626,80,0,,,TRUE
107,U??ge,334176.5435,40,0,,,TRUE
109,Negage,67355.55107,80,0,,,TRUE
110,Ondjiva,176739.4097,40,0,,,TRUE
111,Ca??la,86853.80597,80,0,,,TRUE
113,Santa Clara,61410.92619,160,0,,,TRUE
114,Huambo,566508.099,40,0,,,TRUE
115,Bailundo,70993.1472,80,0,,,TRUE
121,Malanje,690575.6782,20,0,,,TRUE
123,Andulo,73710.98615,80,0,,,TRUE
124,Cu??to,552873.8024,40,0,,,TRUE
126,Camacupa,68488.21454,80,0,,,TRUE
127,Menongue,240180.4442,40,0,,,TRUE
128,Cafunfo,135774.8656,40,0,,,TRUE
129,Luena,469685.7523,40,0,,,TRUE
130,Saurimo,407724.4711,20,0,,,TRUE
131,Lucapa,66770.3024,360,0,,,TRUE
132,Dundo,189954.3519,80,0,,,TRUE
133,Luau,117541.0296,40,0,,,TRUE
134,Cazombo,121209.1483,20,0,,,TRUE
135,Shkod??r,85983.3918,20,0,,,TRUE
136,Durr??s,138944.475,32,0,,,TRUE
137,Vlor??,80047.95616,20,0,,,TRUE
138,Fier,57060.91515,40,0,,,TRUE
139,Tiran??,846093.8107,20,0,,,TRUE
140,Elbasan,79315.49625,40,0,,,TRUE
142,Apo Dhabi,731087.746,80,0,,,TRUE
143,Sharqa,4013215.131,20,0,,,TRUE
144,Mojamaa Debby Lastasthmar,112412.8235,7052,0,,,TRUE
145,Mamura,176707.3314,180,0,,,TRUE
146,Al-Ayn,742330.3253,40,0,,,TRUE
147,Khor Fakan,56834.69742,80,0,,,TRUE
148,San Juan,433662.9521,20,0,,,TRUE
149,Mendoza,982081.7903,20,0,,,TRUE
150,San Salvador De Jujuy,190283.7231,80,0,,,TRUE
151,Salta,496342.516,20,0,,,TRUE
152,La Rioja,192850.1934,20,0,,,TRUE
153,San Mart??n,77978.01428,20,0,,,TRUE
154,Libertador General San Mart??n,48307.16394,20,0,,,TRUE
155,San Pedro,51048.51236,20,0,,,TRUE
156,San Ram??n De La Nueva Or??n,88391.37029,20,0,,,TRUE
157,Concepci??n,56685.81704,20,0,,,TRUE
158,San Miguel De Tucum??n,937645.6192,20,0,,,TRUE
159,Yacuiba,102935.5994,40,0,,,TRUE
160,Tartagal,46579.34143,20,0,,,TRUE
161,San Fernando Del Valle De Catamarca,169800.2306,40,0,,,TRUE
162,San Rafael,119118.5993,20,0,,,TRUE
163,San Carlos De Bariloche,98630.37082,20,0,,,TRUE
164,La Banda,346881.7743,20,0,,,TRUE
165,San Luis,181063.7801,20,0,,,TRUE
166,Villa Carlos Paz,57513.00304,80,0,,,TRUE
167,Villa Mercedes,88174.28992,40,0,,,TRUE
168,C??rdoba,1401361.505,40,0,,,TRUE
169,Neuqu??n,208460.005,40,0,,,TRUE
170,Cipolletti,66979.21893,20,0,,,TRUE
171,General Roca,77827.9214,20,0,,,TRUE
172,R??o Cuarto,133705.5016,40,0,,,TRUE
173,Villa Mar??a,86519.08912,20,0,,,TRUE
174,Presidencia Roque S??enz Pe??a,90630.29659,20,0,,,TRUE
175,Frontera,57287.03519,40,0,,,TRUE
176,Santa Rosa,109633.6006,80,0,,,TRUE
177,General Pico,49075.01714,20,0,,,TRUE
178,Rafaela,79378.05499,20,0,,,TRUE
179,Venado Tuerto,60465.58706,40,0,,,TRUE
180,Santa Fe,356253.2443,20,0,,,TRUE
181,Santo Tom??,59057.71606,40,0,,,TRUE
182,Reconquista,100165.9339,40,0,,,TRUE
183,Resistencia,401059.8535,20,0,,,TRUE
184,Paran??,212514.4062,40,0,,,TRUE
185,Corrientes,372529.2489,20,0,,,TRUE
186,Rosario,1250063.302,40,0,,,TRUE
187,Goya,73681.49926,20,0,,,TRUE
188,Formosa,172140.2583,20,0,,,TRUE
189,Jun??n,78977.96388,40,0,,,TRUE
190,Pergamino,86350.83316,20,0,,,TRUE
191,Comodoro Rivadavia,137353.697,20,0,,,TRUE
192,Centro,129053.0312,40,0,,,TRUE
193,Puerto Madryn,93134.21715,20,0,,,TRUE
194,Trelew,108300.5067,20,0,,,TRUE
195,Bah??a Blanca,246308.5103,20,0,,,TRUE
196,Viedma,68503.79441,20,0,,,TRUE
197,Concordia,225412.189,20,0,,,TRUE
198,Z??rate,81048.53309,20,0,,,TRUE
199,Olavarr??a,69211.98851,40,0,,,TRUE
200,Gualeguaych??,61439.36302,40,0,,,TRUE
201,Concepci??n Del Uruguay,52827.214,40,0,,,TRUE
202,Campana,60766.23089,80,0,,,TRUE
203,Luj??n,63012.63641,40,0,,,TRUE
204,Pilar,100813.5479,4052,0,,,TRUE
206,Bel??n De Escobar,70301.70465,6052,0,,,TRUE
207,Buenos Aires,13495085.77,20,0,,,TRUE
208,Posadas,355936.5962,40,0,,,TRUE
209,Trist??n Su??rez,72256.39039,507,0,TRUE,TRUE,FALSE
210,R??o Gallegos,118728.2922,9,0,,,TRUE
211,La Plata,722693.234,40,0,,,TRUE
212,Tandil,103949.0272,20,0,,,TRUE
213,Ober??,77176.66762,20,0,,,TRUE
214,Eldorado,61805.54056,40,0,,,TRUE
215,Necochea,73740.87492,40,0,,,TRUE
216,Mar Del Plata,615270.5763,20,0,,,TRUE
218,"G??emes, Las Lengas, Los Canelos, Los Pinos, Provincias Unidas",49666.04865,40,0,,,TRUE
219,?? ?? ?? ?? ?? ?? ??,91389.4973,80,0,,,TRUE
220,?? ?? ?? ?? ?? ?? ??,57111.15222,360,0,,,TRUE
221,?? ?? ???? ?? ??,1027346.919,80,0,,,TRUE
222,Mandurah,73262.40817,20,0,,,TRUE
223,Rockingham,72616.56065,20,0,,,TRUE
224,Perth,1256782.137,20,0,,,TRUE
225,Hobart,69139.44578,40,0,,,TRUE
226,Sheidow Park,101497.7977,270,0,,,TRUE
227,Adelaide,932894.3162,20,0,,,TRUE
228,Geelong,150202.0718,20,0,,,TRUE
229,Ballarat,72084.66533,20,0,,,TRUE
230,Wyndham Vale,356229.0152,162,0,,,TRUE
231,Melbourne,3796444.523,14,0,,,TRUE
232,Woden,50754.09838,80,0,,,TRUE
233,Belconnen,74990.8675,40,0,,,TRUE
234,Wollongong,152600.3713,20,0,,,TRUE
235,Campbelltown,105529.5086,608,0,,,TRUE
236,Penrith,108221.5296,405,0,,,TRUE
237,Sydney,4111175.201,20,0,,,TRUE
238,Newcastle,198581.0123,20,0,,,TRUE
239,Toowoomba,82347.78548,20,0,,,TRUE
240,Kirwan,91014.04935,40,0,,,TRUE
241,Cairns,53196.14111,40,0,,,TRUE
242,Marsden,59931.86058,300,0,TRUE,TRUE,FALSE
243,Gold Coast,316465.5547,8,0,TRUE,TRUE,FALSE
244,Logan City,1028375.788,40,0,,,TRUE
245,Lindum,61318.69586,540,0,,,TRUE
246,Thornlands,94960.24011,405,0,,,TRUE
247,Scarborough,55283.80233,810,0,,,TRUE
248,Sunshine Coast,76588.20513,80,0,,,TRUE
249,Innsbruck,139409.6872,20,0,,,TRUE
250,Salzburg,156898.5549,20,0,,,TRUE
251,Linz,234929.4104,20,0,,,TRUE
252,Klagenfurt,79129.20212,20,0,,,TRUE
